"","site","year","family","seeds_m2","mast"
"1","Lake Poteriteri","2011","Beech",1255.2380952381,"Partial"
"2","Lake Poteriteri","2012","Beech",120.952380952381,"None"
"3","Lake Poteriteri","2013","Beech",1430.71428571429,"Partial"
"4","Lake Poteriteri","2014","Beech",2510.71428571429,"Partial"
"5","Lake Poteriteri","2015","Beech",6.19047619047619,"None"
"6","Lake Poteriteri","2016","Beech",4568.57142857143,"Full"
"7","Lake Poteriteri","2017","Beech",345.47619047619,"None"
"8","Lake Poteriteri","2018","Beech",15.8482142857143,"None"
"9","Lake Poteriteri","2019","Beech",7714.04761904762,"Full"
"10","Lake Poteriteri","2020","Beech",713.095238095238,"Partial"
"11","Lake Poteriteri","2021","Beech",19.2857142857143,"None"
"12","Lake Poteriteri","2022","Beech",854.761904761905,"Partial"
"13","Waitutu Coast","2011","Beech",42.8571428571429,"None"
"14","Waitutu Coast","2012","Beech",24.2857142857143,"None"
"15","Waitutu Coast","2013","Beech",120.952380952381,"None"
"16","Waitutu Coast","2014","Beech",1098.84792626728,"Partial"
"17","Waitutu Coast","2015","Beech",3.80952380952381,"None"
"18","Waitutu Coast","2016","Beech",1709.28571428571,"Partial"
"19","Waitutu Coast","2017","Beech",10.7142857142857,"None"
"20","Waitutu Coast","2018","Beech",3.21428571428571,"None"
"21","Waitutu Coast","2019","Beech",2818.4331797235,"Partial"
"22","Waitutu Coast","2020","Beech",47.3809523809524,"None"
"23","Waitutu Coast","2021","Beech",2.14285714285714,"None"
"24","Waitutu Coast","2022","Beech",87.1428571428571,"None"
